date,price,symbol
2019-04-12,11643.45,NIFTY 50
2019-04-15,11690.35,NIFTY 50
2019-04-16,11787.15,NIFTY 50
2019-04-18,11752.8,NIFTY 50
2019-04-22,11594.45,NIFTY 50
2019-04-23,11575.95,NIFTY 50
2019-04-24,11726.15,NIFTY 50
2019-04-25,11641.8,NIFTY 50
2019-04-26,11754.65,NIFTY 50
2019-04-30,11748.15,NIFTY 50
2019-05-02,11724.75,NIFTY 50
2019-05-03,11712.25,NIFTY 50
2019-05-06,11598.25,NIFTY 50
2019-05-07,11497.9,NIFTY 50
2019-05-08,11359.45,NIFTY 50
2019-05-09,11301.8,NIFTY 50
2019-05-10,11278.9,NIFTY 50
2019-05-13,11148.2,NIFTY 50
2019-05-14,11222.05,NIFTY 50
2019-05-15,11157,NIFTY 50
2019-05-16,11257.1,NIFTY 50
2019-05-17,11407.15,NIFTY 50
2019-05-20,11828.25,NIFTY 50
2019-05-21,11709.1,NIFTY 50
2019-05-22,11737.9,NIFTY 50
2019-05-23,11657.05,NIFTY 50
2019-05-24,11844.1,NIFTY 50
2019-05-27,11924.75,NIFTY 50
2019-05-28,11928.75,NIFTY 50
2019-05-29,11861.1,NIFTY 50
2019-05-30,11945.9,NIFTY 50
2019-05-31,11922.8,NIFTY 50
2019-06-03,12088.55,NIFTY 50
2019-06-04,12021.65,NIFTY 50
2019-06-06,11843.75,NIFTY 50
2019-06-07,11870.65,NIFTY 50
2019-06-10,11922.7,NIFTY 50
2019-06-11,11965.6,NIFTY 50
2019-06-12,11906.2,NIFTY 50
2019-06-13,11914.05,NIFTY 50
2019-06-14,11823.3,NIFTY 50
2019-06-17,11672.15,NIFTY 50
2019-06-18,11691.5,NIFTY 50
2019-06-19,11691.45,NIFTY 50
2019-06-20,11831.75,NIFTY 50
2019-06-21,11724.1,NIFTY 50
2019-06-24,11699.65,NIFTY 50
2019-06-25,11796.45,NIFTY 50
2019-06-26,11847.55,NIFTY 50
2019-06-27,11841.55,NIFTY 50
2019-06-28,11788.85,NIFTY 50
2019-07-01,11865.6,NIFTY 50
2019-07-02,11910.3,NIFTY 50
2019-07-03,11916.75,NIFTY 50
2019-07-04,11946.75,NIFTY 50
2019-07-05,11811.15,NIFTY 50
2019-07-08,11558.6,NIFTY 50
2019-07-09,11555.9,NIFTY 50
2019-07-10,11498.9,NIFTY 50
2019-07-11,11582.9,NIFTY 50
2019-07-12,11552.5,NIFTY 50
2019-07-15,11588.35,NIFTY 50
2019-07-16,11662.6,NIFTY 50
2019-07-17,11687.5,NIFTY 50
2019-07-18,11596.9,NIFTY 50
2019-07-19,11419.25,NIFTY 50
2019-07-22,11346.2,NIFTY 50
2019-07-23,11331.05,NIFTY 50
2019-07-24,11271.3,NIFTY 50
2019-07-25,11252.15,NIFTY 50
2019-07-26,11284.3,NIFTY 50
2019-07-29,11189.2,NIFTY 50
2019-07-30,11085.4,NIFTY 50
2019-07-31,11118,NIFTY 50
2019-08-01,10980,NIFTY 50
2019-08-02,10997.35,NIFTY 50
2019-08-05,10862.6,NIFTY 50
2019-08-06,10948.25,NIFTY 50
2019-08-07,10855.5,NIFTY 50
2019-08-08,11032.45,NIFTY 50
2019-08-09,11109.65,NIFTY 50
2019-08-13,10925.85,NIFTY 50
2019-08-14,11029.4,NIFTY 50
2019-08-16,11047.8,NIFTY 50
2019-08-19,11053.9,NIFTY 50
2019-08-20,11017,NIFTY 50
2019-08-21,10918.7,NIFTY 50
2019-08-22,10741.35,NIFTY 50
2019-08-23,10829.35,NIFTY 50
2019-08-26,11057.85,NIFTY 50
2019-08-27,11105.35,NIFTY 50
2019-08-28,11046.1,NIFTY 50
2019-08-29,10948.3,NIFTY 50
2019-08-30,11023.25,NIFTY 50
2019-09-03,10797.9,NIFTY 50
2019-09-04,10844.65,NIFTY 50
2019-09-05,10847.9,NIFTY 50
2019-09-06,10946.2,NIFTY 50
2019-09-09,11003.05,NIFTY 50
2019-09-11,11035.7,NIFTY 50
2019-09-12,10982.8,NIFTY 50
2019-09-13,11075.9,NIFTY 50
2019-09-16,11003.5,NIFTY 50
2019-09-17,10817.6,NIFTY 50
2019-09-18,10840.65,NIFTY 50
2019-09-19,10704.8,NIFTY 50
2019-09-20,11274.2,NIFTY 50
2019-09-23,11600.2,NIFTY 50
2019-09-24,11588.2,NIFTY 50
2019-09-25,11440.2,NIFTY 50
2019-09-26,11571.2,NIFTY 50
2019-09-27,11512.4,NIFTY 50
2019-09-30,11474.45,NIFTY 50
2019-10-01,11359.9,NIFTY 50
2019-10-03,11314,NIFTY 50
2019-10-04,11174.75,NIFTY 50
2019-10-07,11126.4,NIFTY 50
2019-10-09,11313.3,NIFTY 50
2019-10-10,11234.55,NIFTY 50
2019-10-11,11305.05,NIFTY 50
2019-10-14,11341.15,NIFTY 50
2019-10-15,11428.3,NIFTY 50
2019-10-16,11464,NIFTY 50
2019-10-17,11586.35,NIFTY 50
2019-10-18,11661.85,NIFTY 50
2019-10-22,11588.35,NIFTY 50
2019-10-23,11604.1,NIFTY 50
2019-10-24,11582.6,NIFTY 50
2019-10-25,11583.9,NIFTY 50
2019-10-27,11627.15,NIFTY 50
2019-10-29,11786.85,NIFTY 50
2019-10-30,11844.1,NIFTY 50
2019-10-31,11877.45,NIFTY 50
2019-11-01,11890.6,NIFTY 50
2019-11-04,11941.3,NIFTY 50
2019-11-05,11917.2,NIFTY 50
